id,title,source,price,currency,listing_created_on,is_active,last_modified_timestamp
1,"Johnson, Fowler and Johnson",Realtor,4020.95,EUR,2024-03-27,True,2021-12-27
2,Kelley-Johnson,Craigslist,1390.01,INR,2023-07-23,True,2023-02-10
3,"Gibson, Delgado and Austin",Craigslist,3082.67,INR,2024-04-15,True,2020-01-02
4,"Kelly, Smith and Gibson",Zillow,4724.2,USD,2020-10-27,False,2023-06-23
5,Carroll-Burch,Airbnb,3867.11,USD,2021-02-01,False,2022-07-25
6,James LLC,Zillow,2850.27,USD,2025-03-20,True,2021-02-16
7,"Crane, Rodriguez and Charles",Airbnb,4900.15,USD,2020-01-30,True,2021-01-06
8,Stewart-Abbott,Realtor,3085.36,USD,2023-05-28,False,2023-08-21
9,"Dean, Johnson and Stanley",Zillow,1778.69,USD,2023-12-01,False,2023-04-07
10,Riley Inc,Craigslist,2794.78,EUR,2021-11-14,True,2025-03-20
11,Wells-Riley,Zillow,2043.63,EUR,2021-08-28,False,2024-12-18
12,Bates Group,Realtor,2786.4,INR,2024-04-06,False,2021-04-25
13,"Cohen, Brown and Kim",Zillow,3989.44,INR,2020-04-15,False,2020-10-13
14,Rodriguez-Chambers,Zillow,4108.96,USD,2024-08-22,True,2024-02-06
15,"Simmons, Garcia and Murray",Zillow,3482.88,USD,2021-07-22,False,2025-02-21
16,Mitchell-Kelly,Airbnb,1090.52,INR,2021-04-29,True,2022-06-02
17,"Brooks, Reed and Delgado",Craigslist,1123.42,INR,2023-05-31,False,2022-09-08
18,"Williams, Brown and Tucker",Airbnb,1683.46,EUR,2023-09-02,False,2024-10-13
19,Williamson-Strong,Realtor,2434.81,USD,2020-08-16,False,2020-05-18
20,Pratt Group,Realtor,1350.94,INR,2023-03-23,True,2025-03-13
21,Rivers-Whitehead,Airbnb,3281.83,EUR,2023-07-20,True,2023-08-11
22,Marsh Inc,Airbnb,4124.62,EUR,2023-09-27,False,2021-06-29
23,Sandoval PLC,Apartments.com,3152.07,USD,2024-06-22,False,2020-10-01
24,Smith PLC,Airbnb,2632.78,EUR,2024-10-13,True,2025-03-09
25,"Spencer, Johnson and Faulkner",Airbnb,1395.98,INR,2025-01-23,False,2023-02-08
