id,category,body,amenities,bathrooms,bedrooms,fee,has_photo,pets_allowed,price_display,price_type,square_feet,address,cityname,state,latitude,longitude
1,2BHK,Happy product model process necessary. Only forget war they. Industry article table middle floor talk.,"Balcony, Air Conditioning",1,1,168.84,True,False,$1588.42,Monthly,1463,"92525 Holt Turnpike Lake Keith, KY 50153",New York,California,20.457092,0.46622
2,Penthouse,Technology past much. Shoulder collection approach return drive discussion shake. Artist believe international road career law second.,"Garden, Pet-friendly, Balcony",2,2,202.99,False,True,$3585.32,Yearly,722,"89610 Chang Lane Apt. 295 New Ericaland, NC 28192",Austin,Texas,38.182993,-129.769256
3,3BHK,Firm agreement shake design sort. Size source rise follow. Course field ground build still right. Pull not man.,Gym,2,1,488.93,False,False,$1961.69,Monthly,2208,"134 Bryan Island Leefort, VT 48142",Chicago,Illinois,61.585391,-92.597924
4,1BHK,Next may hear camera. Heart dinner onto increase letter join it. Sure believe successful because.,Garden,3,3,376.1,True,False,$4845.75,Yearly,589,"13660 Amanda Isle East Michaelchester, CT 62513",San Antonio,Texas,-59.01545,6.296552
5,1BHK,Space necessary each statement sport early. Figure anything decide return stuff head. Family million upon herself can eye.,Pet-friendly,2,2,465.79,False,True,$2599.65,One-time,1590,"7915 Laurie Manor Port John, MN 73309",Los Angeles,California,-48.009442,-33.172952
6,2BHK,Offer environmental factor security far citizen live. Economy medical Democrat significant machine newspaper majority campaign.,"Air Conditioning, Gym",1,1,244.49,True,False,$3173.35,Monthly,1269,"839 Alejandro Rapid West Sydney, TN 87847",Chicago,Texas,-15.734868,114.378874
7,1BHK,Them blood ahead story knowledge a answer. Medical story important fall here. Week he himself unit nice.,"Elevator, Gym, Wi-Fi, Swimming Pool, Air Conditioning",3,3,375.26,False,False,$3965.02,One-time,713,"7931 Ralph Green Suite 988 Port Michaelchester, KY 81517",San Antonio,Texas,20.490133,165.0257
8,Penthouse,So experience ball wall dinner say statement. Article down over owner large until. Wait evidence third. Question hit else hope human can put blood.,"Wi-Fi, Air Conditioning, Parking",3,1,323.26,False,False,$4437.17,Monthly,2057,"529 Mccormick Trail South Jeanetteton, GA 93154",Austin,New York,-70.504472,7.739492
9,3BHK,Entire charge prevent beyond major sort born.,"Wi-Fi, Air Conditioning, Gym",3,2,392.54,False,False,$3324.9,Yearly,1369,"66100 Norman Union Suite 890 North Williamberg, CT 29173",Philadelphia,Pennsylvania,-54.517385,-73.485962
10,3BHK,Unit condition beyond debate. Step she collection idea develop.,"Garden, Wi-Fi, Pet-friendly, Air Conditioning",3,1,143.99,True,True,$4466.53,Yearly,2201,"0730 Harrison Valleys New Samantha, IN 84502",Houston,Texas,29.903511,-138.418216
