booking_id,user_id,apartment_id,booking_date,checkin_date,checkout_date,total_price,currency,booking_status
1,2920,130940,11/11/2022,07/09/2024,30/06/2023,2923.67,USD,confirmed
2,2788,191497,17/05/2024,07/07/2024,06/09/2021,4645.29,USD,pending
3,9285,139117,26/11/2022,12/02/2025,07/04/2023,1683.99,USD,canceled
4,8161,118131,09/07/2020,25/10/2024,08/02/2021,1870.62,USD,confirmed
5,6733,43470,08/05/2024,31/01/2022,29/10/2024,3379.44,USD,pending
6,8017,183666,08/06/2021,29/08/2020,12/11/2024,1596.56,USD,pending
7,2051,97644,08/09/2022,19/03/2024,27/02/2025,3225.36,USD,pending
8,3889,17073,24/01/2025,17/11/2021,03/08/2021,3017.16,USD,confirmed
9,8306,42199,10/10/2021,10/07/2023,18/12/2020,4867.8,USD,canceled
10,8952,122566,27/03/2024,01/07/2023,27/09/2021,2216.02,USD,canceled
